PHId	PMacid	PName	Abrivation	Current	Voltage	Power	ChangeBy	ChangeDate	PId	UnitId
169852	3C71BF106130	NULL	NULL	54.2	239	214.38	jts_admin	2018-11-28 21:00:00.000000	9	740
169855	3C71BF106130	NULL	NULL	56.1	249	207.26	jts_admin	2018-11-28 21:01:00.000000	9	740
169859	3C71BF106130	NULL	NULL	55.8	239	206.38	jts_admin	2018-11-28 21:02:00.000000	9	740
169861	3C71BF106130	NULL	NULL	54.7	238	408.18	jts_admin	2018-11-28 21:03:00.000000	9	740
169865	3C71BF106130	NULL	NULL	54.6	234	415.2	jts_admin	2018-11-28 21:05:00.000000	9	740
169869	3C71BF106130	NULL	NULL	55.4	237	193.04	jts_admin	2018-11-28 21:06:00.000000	9	740
169879	3C71BF106130	NULL	NULL	56	238	1764.29	jts_admin	2018-11-28 21:14:00.000000	9	740
169881	3C71BF106130	NULL	NULL	56.7	238	226.47	jts_admin	2018-11-28 21:15:00.000000	9	740
169885	3C71BF106130	NULL	NULL	60.3	236	938.22	jts_admin	2018-11-28 21:18:00.000000	9	740
169894	3C71BF106130	NULL	NULL	56.4	238	2036.45	jts_admin	2018-11-28 21:23:00.000000	9	740
169897	3C71BF106130	NULL	NULL	53.8	235	235.19	jts_admin	2018-11-28 21:24:00.000000	9	740
169918	3C71BF106130	NULL	NULL	54.2	240	2424.1	jts_admin	2018-11-28 21:34:00.000000	9	740
169921	3C71BF106130	NULL	NULL	56	238	222.4	jts_admin	2018-11-28 21:35:00.000000	9	740
169925	3C71BF106130	NULL	NULL	56.3	242	214.35	jts_admin	2018-11-28 21:36:00.000000	9	740
169928	3C71BF106130	NULL	NULL	56.3	238	206.95	jts_admin	2018-11-28 21:37:00.000000	9	740
169932	3C71BF106130	NULL	NULL	55.8	244	226.41	jts_admin	2018-11-28 21:38:00.000000	9	740
169933	3C71BF106130	NULL	NULL	56.1	240	230.41	jts_admin	2018-11-28 21:39:00.000000	9	740
169937	3C71BF106130	NULL	NULL	55.7	240	438.48	jts_admin	2018-11-28 21:40:00.000000	9	740
169940	3C71BF106130	NULL	NULL	54.8	254	238.11	jts_admin	2018-11-28 21:41:00.000000	9	740
169944	3C71BF106130	NULL	NULL	56.1	240	450.41	jts_admin	2018-11-28 21:42:00.000000	9	740
169954	3C71BF106130	NULL	NULL	55.2	241	892.91	jts_admin	2018-11-28 21:46:00.000000	9	740
169957	3C71BF106130	NULL	NULL	55.8	240	1109.27	jts_admin	2018-11-28 21:47:00.000000	9	740
169961	3C71BF106130	NULL	NULL	56	241	1354.02	jts_admin	2018-11-28 21:48:00.000000	9	740
169965	3C71BF106130	NULL	NULL	55.4	241	1569.42	jts_admin	2018-11-28 21:49:00.000000	9	740
169971	3C71BF106130	NULL	NULL	55.9	240	442.06	jts_admin	2018-11-28 21:51:00.000000	9	740
169975	3C71BF106130	NULL	NULL	55.4	241	216.37	jts_admin	2018-11-28 21:52:00.000000	9	740
169979	3C71BF106130	NULL	NULL	54.1	241	242.01	jts_admin	2018-11-28 21:53:00.000000	9	740
169982	3C71BF106130	NULL	NULL	56.8	241	454.49	jts_admin	2018-11-28 21:54:00.000000	9	740
170002	3C71BF106130	NULL	NULL	56.8	241	2013.69	jts_admin	2018-11-28 22:03:00.000000	9	740
170006	3C71BF106130	NULL	NULL	54	238	223.04	jts_admin	2018-11-28 22:04:00.000000	9	740
170010	3C71BF106130	NULL	NULL	55.6	241	173.47	jts_admin	2018-11-28 22:05:00.000000	9	740
170014	3C71BF106130	NULL	NULL	56.1	236	218.93	jts_admin	2018-11-28 22:06:00.000000	9	740
170017	3C71BF106130	NULL	NULL	56.5	241	210.93	jts_admin	2018-11-28 22:07:00.000000	9	740
170026	3C71BF106130	NULL	NULL	56.7	242	1084.94	jts_admin	2018-11-28 22:11:00.000000	9	740
170031	3C71BF106130	NULL	NULL	56.4	243	440.75	jts_admin	2018-11-28 22:13:00.000000	9	740
170034	3C71BF106130	NULL	NULL	54.2	244	201.46	jts_admin	2018-11-28 22:14:00.000000	9	740
170036	3C71BF106130	NULL	NULL	53.5	241	194.77	jts_admin	2018-11-28 22:15:00.000000	9	740
170039	3C71BF106130	NULL	NULL	55.8	236	225.35	jts_admin	2018-11-28 22:16:00.000000	9	740
170042	3C71BF106130	NULL	NULL	56.7	242	245.97	jts_admin	2018-11-28 22:17:00.000000	9	740
170047	3C71BF106130	NULL	NULL	56.1	241	447.19	jts_admin	2018-11-28 22:19:00.000000	9	740
170055	3C71BF106130	NULL	NULL	56.7	242	1357.96	jts_admin	2018-11-28 22:23:00.000000	9	740
170059	3C71BF106130	NULL	NULL	53.8	242	196.79	jts_admin	2018-11-28 22:24:00.000000	9	740
170063	3C71BF106130	NULL	NULL	54.7	242	241.34	jts_admin	2018-11-28 22:25:00.000000	9	740
170066	3C71BF106130	NULL	NULL	55.3	245	467.01	jts_admin	2018-11-28 22:26:00.000000	9	740
170069	3C71BF106130	NULL	NULL	56.1	242	213.38	jts_admin	2018-11-28 22:27:00.000000	9	740
170071	3C71BF106130	NULL	NULL	54.2	242	232.97	jts_admin	2018-11-28 22:28:00.000000	9	740
170074	3C71BF106130	NULL	NULL	55.1	241	217.87	jts_admin	2018-11-28 22:29:00.000000	9	740
170076	3C71BF106130	NULL	NULL	55.5	242	225.52	jts_admin	2018-11-28 22:30:00.000000	9	740
170078	3C71BF106130	NULL	NULL	55.1	239	214.91	jts_admin	2018-11-28 22:31:00.000000	9	740
170084	3C71BF106130	NULL	NULL	53.9	246	891.13	jts_admin	2018-11-28 22:35:00.000000	9	740
170088	3C71BF106130	NULL	NULL	61.5	242	225.01	jts_admin	2018-11-28 22:36:00.000000	9	740
170092	3C71BF106130	NULL	NULL	62.4	242	221.08	jts_admin	2018-11-28 22:37:00.000000	9	740
170096	3C71BF106130	NULL	NULL	61.1	240	266.19	jts_admin	2018-11-28 22:38:00.000000	9	740
170100	3C71BF106130	NULL	NULL	63	237	259.58	jts_admin	2018-11-28 22:39:00.000000	9	740
