round(Avg(Temp))	ChangeDate
35	2018-10-02 14:31:39.347810
35	2018-10-02 14:32:00.344693
35	2018-10-02 14:33:01.584073
35	2018-10-02 14:34:01.090208
35	2018-10-02 14:35:00.598197
35	2018-10-02 14:36:00.072879
35	2018-10-02 14:37:01.500427
35	2018-10-02 14:38:00.811127
35	2018-10-02 14:39:00.301024
35	2018-10-02 14:40:01.564779
35	2018-10-02 14:41:01.019470
35	2018-10-02 14:42:00.562878
35	2018-10-02 14:43:00.163399
35	2018-10-02 14:44:01.299687
35	2018-10-02 14:45:00.670192
35	2018-10-02 14:46:00.298947
35	2018-10-02 14:47:01.458840
35	2018-10-02 14:48:00.917648
35	2018-10-02 14:49:00.370926
35	2018-10-02 14:50:00.687744
35	2018-10-02 14:51:01.078455
35	2018-10-02 14:52:00.718682
35	2018-10-02 14:53:00.037363
35	2018-10-02 14:54:01.257394
35	2018-10-02 14:55:00.731240
35	2018-10-02 14:56:00.191658
35	2018-10-02 14:57:01.457470
35	2018-10-02 14:58:00.913331
35	2018-10-02 14:59:00.398857
35	2018-10-02 15:00:01.637705
35	2018-10-02 15:01:01.342376
35	2018-10-02 15:02:00.634300
35	2018-10-02 15:03:00.519859
35	2018-10-02 15:04:01.480905
35	2018-10-02 15:05:00.774764
35	2018-10-02 15:06:00.243541
35	2018-10-02 15:07:01.084871
35	2018-10-02 15:08:00.821509
35	2018-10-02 15:09:00.343672
35	2018-10-02 15:10:01.524806
35	2018-10-02 15:11:00.979031
35	2018-10-02 15:12:00.502088
35	2018-10-02 15:13:01.740388
35	2018-10-02 15:14:01.178363
35	2018-10-02 15:15:00.650044
35	2018-10-02 15:20:05.050033
35	2018-10-02 15:21:01.051338
35	2018-10-02 15:22:00.549045
35	2018-10-02 15:23:00.817417
35	2018-10-02 15:24:01.281168
35	2018-10-02 15:25:13.143352
35	2018-10-02 15:26:00.317936
36	2018-10-02 16:07:35.151060
36	2018-10-02 16:08:01.360184
36	2018-10-02 16:09:00.864223
36	2018-10-02 16:10:00.362412
36	2018-10-02 16:11:01.558339
36	2018-10-02 16:12:01.054846
36	2018-10-02 16:13:00.545758
36	2018-10-02 16:14:00.015873
36	2018-10-02 16:15:01.271728
36	2018-10-02 16:16:00.757603
36	2018-10-02 16:17:00.272420
36	2018-10-02 16:18:01.437647
36	2018-10-02 16:19:00.931850
36	2018-10-02 16:20:00.406896
36	2018-10-02 16:21:01.613146
36	2018-10-02 16:22:01.115606
36	2018-10-02 16:23:00.616671
36	2018-10-02 16:24:00.072384
36	2018-10-02 16:25:01.316665
36	2018-10-02 16:26:00.869290
36	2018-10-02 16:27:00.273120
36	2018-10-02 16:28:01.577891
36	2018-10-02 16:29:00.999464
36	2018-10-02 16:30:00.466061
36	2018-10-02 16:31:00.027282
36	2018-10-02 16:32:01.357160
36	2018-10-02 16:33:00.679950
36	2018-10-02 16:34:00.159552
36	2018-10-02 16:35:01.433789
36	2018-10-02 16:36:00.897571
36	2018-10-02 16:37:00.363144
36	2018-10-02 16:38:01.629373
36	2018-10-02 16:39:01.123696
36	2018-10-02 16:40:00.607099
36	2018-10-02 16:41:00.096619
36	2018-10-02 16:42:01.399973
36	2018-10-02 16:43:00.850738
36	2018-10-02 16:44:00.362234
36	2018-10-02 16:45:01.841549
36	2018-10-02 16:46:01.119323
36	2018-10-02 16:47:00.667796
36	2018-10-02 16:48:00.076980
36	2018-10-02 16:49:01.357636
36	2018-10-02 16:50:00.862964
36	2018-10-02 16:51:00.317835
36	2018-10-02 16:52:01.520277
36	2018-10-02 16:53:01.017399
36	2018-10-02 16:54:00.474758
36	2018-10-02 16:55:01.734501
36	2018-10-02 16:56:01.287926
36	2018-10-02 16:57:10.870974
36	2018-10-02 16:58:00.218326
36	2018-10-02 16:59:01.438284
36	2018-10-02 17:00:00.944571
36	2018-10-02 17:01:02.297923
36	2018-10-02 17:02:01.674628
36	2018-10-02 17:03:01.106722
36	2018-10-02 17:04:00.646206
